Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Gradient Boosting (Optimized) (threshold=0.42),0.872605939272606,0.7294754846066135,0.7271952259164536,0.7283335705137327,0.9287497359900234
XGBoost (Optimized),0.8383717050383717,0.6116425809077957,0.8539357772094345,0.7127609108159393,0.9294104362914496
Random Forest (Optimized),0.8256256256256256,0.5899166335847559,0.8445581131003126,0.6946359705504266,0.918470435368499
XGBoost (Reduced - Top 5),0.8222222222222222,0.5825767819200309,0.8570616652458085,0.6936522539098436,0.9186041442465751
SVM (Support Vector Machine),0.8115448782115449,0.5647716682199441,0.8610400682011935,0.6821251688428636,0.9067798307233212
Logistic Regression (Baseline),0.8544544544544544,0.7326147426981919,0.5987496447854505,0.6589523064894449,0.9053850451365979
